Log Cluster: ID_20251013_135832_746677
------------------------------------------------
SETTINGS:
Minimum Confidence: 0.15
Minimum Area: 200
Aspect Ratio Range: 0.15 - 10.0
Frame Resolution: 600 x 1020
------------------------------------------------
ID: 1 | frame: 3 | start: 2025-10-13 13:58:37.841 | end: 2025-10-13 13:58:37.847 | process: 0.005s | people detected: 5
ID: 2 | frame: 6 | start: 2025-10-13 13:58:39.789 | end: 2025-10-13 13:58:39.795 | process: 0.006s | people detected: 5
ID: 3 | frame: 9 | start: 2025-10-13 13:58:41.615 | end: 2025-10-13 13:58:41.620 | process: 0.005s | people detected: 5
ID: 4 | frame: 12 | start: 2025-10-13 13:58:43.416 | end: 2025-10-13 13:58:43.421 | process: 0.005s | people detected: 5
ID: 5 | frame: 15 | start: 2025-10-13 13:58:45.256 | end: 2025-10-13 13:58:45.261 | process: 0.005s | people detected: 5
ID: 6 | frame: 18 | start: 2025-10-13 13:58:47.123 | end: 2025-10-13 13:58:47.129 | process: 0.006s | people detected: 5
ID: 7 | frame: 21 | start: 2025-10-13 13:58:48.919 | end: 2025-10-13 13:58:48.924 | process: 0.005s | people detected: 5
ID: 8 | frame: 24 | start: 2025-10-13 13:58:50.714 | end: 2025-10-13 13:58:50.718 | process: 0.005s | people detected: 5
ID: 9 | frame: 27 | start: 2025-10-13 13:58:52.560 | end: 2025-10-13 13:58:52.565 | process: 0.005s | people detected: 5
ID: 10 | frame: 30 | start: 2025-10-13 13:58:54.478 | end: 2025-10-13 13:58:54.487 | process: 0.009s | people detected: 5
ID: 11 | frame: 33 | start: 2025-10-13 13:58:56.431 | end: 2025-10-13 13:58:56.438 | process: 0.007s | people detected: 4
ID: 12 | frame: 36 | start: 2025-10-13 13:58:58.377 | end: 2025-10-13 13:58:58.383 | process: 0.005s | people detected: 4
ID: 13 | frame: 39 | start: 2025-10-13 13:59:00.174 | end: 2025-10-13 13:59:00.180 | process: 0.006s | people detected: 3
ID: 14 | frame: 42 | start: 2025-10-13 13:59:01.984 | end: 2025-10-13 13:59:01.991 | process: 0.007s | people detected: 3
ID: 15 | frame: 45 | start: 2025-10-13 13:59:03.881 | end: 2025-10-13 13:59:03.886 | process: 0.005s | people detected: 4
ID: 16 | frame: 48 | start: 2025-10-13 13:59:05.735 | end: 2025-10-13 13:59:05.739 | process: 0.004s | people detected: 2
ID: 17 | frame: 51 | start: 2025-10-13 13:59:07.756 | end: 2025-10-13 13:59:07.760 | process: 0.005s | people detected: 2
ID: 18 | frame: 54 | start: 2025-10-13 13:59:09.605 | end: 2025-10-13 13:59:09.612 | process: 0.006s | people detected: 2
ID: 19 | frame: 57 | start: 2025-10-13 13:59:11.429 | end: 2025-10-13 13:59:11.435 | process: 0.005s | people detected: 3
ID: 20 | frame: 60 | start: 2025-10-13 13:59:13.208 | end: 2025-10-13 13:59:13.215 | process: 0.006s | people detected: 2
ID: 21 | frame: 63 | start: 2025-10-13 13:59:15.054 | end: 2025-10-13 13:59:15.058 | process: 0.004s | people detected: 3
ID: 22 | frame: 66 | start: 2025-10-13 13:59:16.879 | end: 2025-10-13 13:59:16.883 | process: 0.005s | people detected: 2
